plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,exclude_from_analysis,exclude_reason,weight_g.measurement,width_mm.measurement,length_mm.measurement,treatment.group,area_mm2.measurement,imageJ_ID
plate-A,A01,FALSE,6,1,FALSE,,,,,,157.843,2
plate-A,A02,FALSE,6,2,FALSE,,,,,,164.228,1
plate-A,A03,FALSE,6,3,FALSE,,,,,,111.06,3
plate-A,A04,FALSE,6,4,FALSE,,,,,,179.695,4
plate-A,B01,FALSE,6,5,FALSE,,,,,,194.889,8
plate-A,B02,FALSE,6,6,FALSE,,,,,,196.563,7
plate-A,B03,FALSE,6,7,FALSE,,,,,,255.284,5
plate-A,B04,FALSE,6,8,FALSE,,,,,,169.68,6
plate-A,C01,FALSE,6,9,FALSE,,,,,,132.507,9
plate-A,C02,FALSE,6,10,FALSE,,,,,,125.689,10
plate-A,C03,FALSE,6,11,FALSE,,,,,,125.485,11
plate-A,C04,TRUE,,,FALSE,,,,,,,
plate-B,A01,FALSE,10,13,FALSE,,,,,,206.884,1
plate-B,A02,FALSE,10,14,FALSE,,,,,,135.451,4
plate-B,A03,FALSE,10,15,FALSE,,,,,,169.099,2
plate-B,A04,FALSE,10,16,FALSE,,,,,,116.774,3
plate-B,B01,FALSE,10,17,FALSE,,,,,,113.41,5
plate-B,B02,FALSE,10,18,FALSE,,,,,,177.375,6
plate-B,B03,FALSE,10,19,FALSE,,,,,,201.355,7
plate-B,B04,FALSE,10,20,FALSE,,,,,,194.03,8
plate-B,C01,FALSE,10,21,FALSE,,,,,,91.9,9
plate-B,C02,FALSE,10,22,FALSE,,,,,,198.082,10
plate-B,C03,FALSE,10,23,FALSE,,,,,,131.808,11
plate-B,C04,TRUE,,,FALSE,,,,,,,
plate-C,A01,FALSE,7,25,FALSE,,,,,,110.367,1
plate-C,A02,FALSE,7,26,FALSE,,,,,,143.786,3
plate-C,A03,FALSE,7,27,FALSE,,,,,,153.262,2
plate-C,A04,FALSE,7,28,FALSE,,,,,,151.019,4
plate-C,B01,FALSE,7,29,FALSE,,,,,,190.996,8
plate-C,B02,FALSE,7,30,FALSE,,,,,,219.159,5
plate-C,B03,FALSE,7,31,FALSE,,,,,,250.827,6
plate-C,B04,FALSE,7,32,FALSE,,,,,,131.734,7
plate-C,C01,FALSE,7,33,FALSE,,,,,,246.622,9
plate-C,C02,FALSE,7,34,FALSE,,,,,,151.979,10
plate-C,C03,FALSE,7,35,FALSE,,,,,,161.345,11
plate-C,C04,TRUE,,,FALSE,,,,,,,
plate-D,A01,FALSE,8,37,FALSE,,,,,,158.715,4
plate-D,A02,FALSE,8,38,FALSE,,,,,,150.398,2
plate-D,A03,FALSE,8,39,FALSE,,,,,,103.016,3
plate-D,A04,FALSE,8,40,FALSE,,,,,,198.383,1
plate-D,B01,FALSE,8,41,FALSE,,,,,,182.867,6
plate-D,B02,FALSE,8,42,FALSE,,,,,,165.098,7
plate-D,B03,FALSE,8,43,FALSE,,,,,,135.266,5
plate-D,B04,FALSE,8,44,FALSE,,,,,,127.426,8
plate-D,C01,FALSE,8,45,FALSE,,,,,,141.039,11
plate-D,C02,FALSE,8,46,FALSE,,,,,,200.824,9
plate-D,C03,FALSE,8,47,FALSE,,,,,,194.016,10
plate-D,C04,TRUE,,,FALSE,,,,,,,
plate-E,A01,FALSE,5,49,FALSE,,,,,,183.001,1
plate-E,A02,FALSE,5,50,FALSE,,,,,,163.883,2
plate-E,A03,FALSE,5,51,FALSE,,,,,,145.384,4
plate-E,A04,FALSE,5,52,FALSE,,,,,,100.588,3
plate-E,B01,FALSE,5,53,FALSE,,,,,,176.979,5
plate-E,B02,FALSE,5,54,FALSE,,,,,,156.493,6
plate-E,B03,FALSE,5,55,FALSE,,,,,,121.482,7
plate-E,B04,FALSE,5,56,FALSE,,,,,,113.087,8
plate-E,C01,FALSE,5,57,FALSE,,,,,,180.681,10
plate-E,C02,FALSE,5,58,FALSE,,,,,,129.626,9
plate-E,C03,FALSE,5,59,FALSE,,,,,,124.569,11
plate-E,C04,TRUE,,,FALSE,,,,,,,
plate-F,A01,FALSE,9,61,FALSE,,,,,,125.345,1
plate-F,A02,FALSE,9,62,FALSE,,,,,,193.372,4
plate-F,A03,FALSE,9,63,FALSE,,,,,,83.131,3
plate-F,A04,FALSE,9,64,FALSE,,,,,,98.592,2
plate-F,B01,FALSE,9,65,FALSE,,,,,,134.638,7
plate-F,B02,FALSE,9,66,FALSE,,,,,,139.546,5
plate-F,B03,FALSE,9,67,FALSE,,,,,,95.604,6
plate-F,B04,FALSE,9,68,FALSE,,,,,,129.636,8
plate-F,C01,FALSE,9,69,FALSE,,,,,,153.054,11
plate-F,C02,FALSE,9,70,FALSE,,,,,,143.95,10
plate-F,C03,FALSE,9,71,FALSE,,,,,,168.512,9
plate-F,C04,TRUE,,,FALSE,,,,,,,
plate-G,A01,FALSE,9b,73,FALSE,,,,,,126.104,1
plate-G,A02,FALSE,9b,74,FALSE,,,,,,167.867,2
plate-G,A03,FALSE,9b,75,FALSE,,,,,,191.131,4
plate-G,A04,FALSE,9b,76,FALSE,,,,,,184.322,3
plate-G,B01,FALSE,9b,77,FALSE,,,,,,300.511,6
plate-G,B02,FALSE,9b,78,FALSE,,,,,,164.4,5
plate-G,B03,FALSE,9b,79,FALSE,,,,,,185.113,7
plate-G,B04,FALSE,9b,80,FALSE,,,,,,141.937,8
plate-G,C01,FALSE,9b,81,FALSE,,,,,,213.624,11
plate-G,C02,FALSE,9b,82,FALSE,,,,,,135.981,10
plate-G,C03,FALSE,9b,83,FALSE,,,,,,283.174,9
plate-G,C04,TRUE,,,FALSE,,,,,,,
plate-H,A01,FALSE,3,85,FALSE,,,,,,91.671,1
plate-H,A02,FALSE,3,86,FALSE,,,,,,183.484,2
plate-H,A03,FALSE,3,87,FALSE,,,,,,164.498,4
plate-H,A04,FALSE,3,88,FALSE,,,,,,169.593,3
plate-H,B01,FALSE,3,89,FALSE,,,,,,114.56,5
plate-H,B02,FALSE,3,90,FALSE,,,,,,137.787,8
plate-H,B03,FALSE,3,91,FALSE,,,,,,103.789,6
plate-H,B04,FALSE,3,92,FALSE,,,,,,147.754,7
plate-H,C01,FALSE,3,93,FALSE,,,,,,193.123,9
plate-H,C02,FALSE,3,94,FALSE,,,,,,147.665,10
plate-H,C03,FALSE,3,95,FALSE,,,,,,254.805,11
plate-H,C04,TRUE,,,FALSE,,,,,,,
plate-I,A01,FALSE,1,97,FALSE,,,,,,223.427,1
plate-I,A02,FALSE,1,98,FALSE,,,,,,143.907,2
plate-I,A03,FALSE,1,99,FALSE,,,,,,120.75,4
plate-I,A04,FALSE,1,100,FALSE,,,,,,139.16,3
plate-I,B01,FALSE,1,101,FALSE,,,,,,213.387,7
plate-I,B02,FALSE,1,102,FALSE,,,,,,124.184,8
plate-I,B03,FALSE,1,103,FALSE,,,,,,165.182,5
plate-I,B04,FALSE,1,104,FALSE,,,,,,141.079,6
plate-I,C01,FALSE,1,105,FALSE,,,,,,168.036,9
plate-I,C02,FALSE,1,106,FALSE,,,,,,201.238,10
plate-I,C03,FALSE,1,107,FALSE,,,,,,112.797,11
plate-I,C04,TRUE,,,FALSE,,,,,,,
