experiment,value_metric,family_id_group,trajectory_class,n,prop
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,8,monotonic_increase,4,0.4444444444444444
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,8,rise_then_depress,5,0.5555555555555556
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,9,monotonic_increase,1,0.1
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,9,rise_then_depress,9,0.9
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,9b,monotonic_increase,1,0.1
01.00-resazurin-20260511-mgig-freshwater-RT,corrected_fc,9b,rise_then_depress,9,0.9
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,1,monotonic_increase,3,0.375
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,1,rise_then_depress,5,0.625
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,10,monotonic_increase,2,0.2
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,10,rise_then_depress,8,0.8
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,3,monotonic_increase,2,0.2222222222222222
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,3,rise_then_depress,7,0.7777777777777778
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,5,monotonic_increase,3,0.3333333333333333
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,5,rise_then_depress,6,0.6666666666666666
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,6,monotonic_increase,3,0.3
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,6,rise_then_depress,7,0.7
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,7,monotonic_increase,5,0.5
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,7,rise_then_depress,5,0.5
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,8,monotonic_increase,4,0.4444444444444444
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,8,rise_then_depress,5,0.5555555555555556
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9,monotonic_increase,1,0.1
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9,rise_then_depress,9,0.9
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9b,monotonic_increase,1,0.1
01.00-resazurin-20260511-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9b,rise_then_depress,9,0.9
01.00-resazurin-20260602-mgig-36C,corrected_fc,1,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,corrected_fc,1,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,corrected_fc,10,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,corrected_fc,10,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,corrected_fc,3,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,3,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,5,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,5,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,6,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260602-mgig-36C,corrected_fc,6,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260602-mgig-36C,corrected_fc,7,monotonic_increase,6,0.5454545454545454
01.00-resazurin-20260602-mgig-36C,corrected_fc,7,rise_then_depress,5,0.45454545454545453
01.00-resazurin-20260602-mgig-36C,corrected_fc,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,corrected_fc,9,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,corrected_fc,9,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,corrected_fc,9b,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260602-mgig-36C,corrected_fc,9b,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,1,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,1,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,10,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,10,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,3,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,3,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,5,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,5,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,6,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,6,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,7,monotonic_increase,6,0.5454545454545454
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,7,rise_then_depress,5,0.45454545454545453
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,9,monotonic_increase,7,0.6363636363636364
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,9,rise_then_depress,4,0.36363636363636365
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,9b,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260602-mgig-36C,metabolism_per_area_mm2_measurement,9b,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,1,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,1,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,10,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,3,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,3,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,5,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,5,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,6,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,7,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,9,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,9,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,corrected_fc,9b,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,1,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,1,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,10,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,3,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,3,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,5,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,5,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,6,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,7,monotonic_increase,11,1
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260602-mgig-freshwater-RT,metabolism_per_area_mm2_measurement,9b,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,corrected_fc,1,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260604-mgig-36C,corrected_fc,1,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260604-mgig-36C,corrected_fc,10,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260604-mgig-36C,corrected_fc,10,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260604-mgig-36C,corrected_fc,3,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,3,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,5,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,5,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,6,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,corrected_fc,7,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,7,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,8,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,corrected_fc,9,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,corrected_fc,9b,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,corrected_fc,9b,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,1,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,1,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,10,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,10,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,3,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,3,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,5,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,5,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,6,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,7,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,7,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,8,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,9,monotonic_increase,11,1
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,9b,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,9b,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260624-mgig-33C,corrected_fc,1,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,1,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,10,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,2,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,3,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,3,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,5,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,5,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,6,depress_then_recover,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,6,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,7,monotonic_increase,15,0.8333333333333334
01.00-resazurin-20260624-mgig-33C,corrected_fc,7,rise_then_depress,3,0.16666666666666666
01.00-resazurin-20260624-mgig-33C,corrected_fc,8,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,9,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,1,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,1,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,10,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,2,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,3,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,3,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,5,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,5,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,6,depress_then_recover,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,6,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,7,monotonic_increase,15,0.8333333333333334
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,7,rise_then_depress,3,0.16666666666666666
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,8,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,9,monotonic_increase,18,1
