ID,Family,20,44,69,145,164,188
1,1,0,0,0,0,0,1
2,1,0,0,0,0,0,1
3,1,0,0,0,0,0,1
4,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0
8,1,0,0,0,0,0,0
9,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0
11,1,0,0,0,0,0,0
12,1,0,0,0,0,0,0
13,1,0,0,0,0,0,0
14,1,0,0,0,0,0,0
15,1,0,0,0,0,0,0
16,1,0,0,0,0,0,0
17,1,0,0,0,0,0,0
18,1,0,0,0,0,0,0
19,1,0,0,0,0,0,0
20,1,0,0,0,0,0,0
21,2,0,0,0,0,0,0
22,2,0,0,0,0,0,1
23,2,0,0,0,0,0,1
24,2,0,0,0,0,0,0
25,2,0,0,0,0,0,0
26,2,0,0,0,0,0,0
27,2,0,0,0,0,0,0
28,2,0,0,0,0,0,0
29,2,0,0,0,0,0,0
30,2,0,0,0,0,0,0
31,2,0,0,0,0,0,0
32,2,0,0,0,0,0,0
33,2,0,0,0,0,0,0
34,2,0,0,0,0,0,0
35,2,0,0,0,0,0,0
36,2,0,0,0,0,0,0
37,2,0,0,0,0,0,0
38,2,0,0,0,0,0,0
39,2,0,0,0,0,0,0
40,2,0,0,0,0,0,0
41,3,0,0,0,0,0,1
42,3,0,0,0,0,0,1
43,3,0,0,0,0,0,1
44,3,0,0,0,0,0,1
45,3,0,0,0,0,0,1
46,3,0,0,0,0,0,1
47,3,0,0,0,0,0,1
48,3,0,0,0,0,0,1
49,3,0,0,0,0,0,1
50,3,0,0,0,0,0,1
51,3,0,0,0,0,0,0
52,3,0,0,0,0,0,0
53,3,0,0,0,0,0,0
54,3,0,0,0,0,0,0
55,3,0,0,0,0,0,0
56,3,0,0,0,0,0,0
57,3,0,0,0,0,0,0
58,3,0,0,0,0,0,0
59,3,0,0,0,0,0,0
60,3,0,0,0,0,0,0
61,3,0,0,0,0,0,0
62,3,0,0,0,0,0,0
63,3,0,0,0,0,0,0
64,3,0,0,0,0,0,0
65,5,0,0,0,0,0,1
66,5,0,0,0,0,0,0
67,5,0,0,0,0,0,0
68,5,0,0,0,0,0,0
69,5,0,0,0,0,0,0
70,5,0,0,0,0,0,0
71,5,0,0,0,0,0,0
72,5,0,0,0,0,0,0
73,5,0,0,0,0,0,0
74,5,0,0,0,0,0,0
75,5,0,0,0,0,0,0
76,5,0,0,0,0,0,0
77,5,0,0,0,0,0,0
78,5,0,0,0,0,0,0
79,5,0,0,0,0,0,0
80,5,0,0,0,0,0,0
81,5,0,0,0,0,0,0
82,5,0,0,0,0,0,0
83,5,0,0,0,0,0,0
84,5,0,0,0,0,0,0
85,6,0,0,0,0,1,1
86,6,0,0,0,0,0,1
87,6,0,0,0,0,0,1
88,6,0,0,0,0,0,1
89,6,0,0,0,0,0,1
90,6,0,0,0,0,0,1
91,6,0,0,0,0,0,1
92,6,0,0,0,0,0,1
93,6,0,0,0,0,0,1
94,6,0,0,0,0,0,1
95,6,0,0,0,0,0,1
96,6,0,0,0,0,0,1
97,6,0,0,0,0,0,0
98,6,0,0,0,0,0,0
99,6,0,0,0,0,0,0
100,6,0,0,0,0,0,0
101,6,0,0,0,0,0,0
102,6,0,0,0,0,0,0
103,6,0,0,0,0,0,0
104,6,0,0,0,0,0,0
105,7,0,0,0,0,0,1
106,7,0,0,0,0,0,1
107,7,0,0,0,0,0,1
108,7,0,0,0,0,0,1
109,7,0,0,0,0,0,1
110,7,0,0,0,0,0,1
111,7,0,0,0,0,0,1
112,7,0,0,0,0,0,1
113,7,0,0,0,0,0,1
114,7,0,0,0,0,0,1
115,7,0,0,0,0,0,1
116,7,0,0,0,0,0,0
117,7,0,0,0,0,0,0
118,7,0,0,0,0,0,0
119,7,0,0,0,0,0,0
120,7,0,0,0,0,0,0
121,7,0,0,0,0,0,0
122,7,0,0,0,0,0,0
123,7,0,0,0,0,0,0
124,7,0,0,0,0,0,0
125,8,0,1,1,1,1,1
126,8,0,0,0,0,0,1
127,8,0,0,0,0,0,1
128,8,0,0,0,0,0,1
129,8,0,0,0,0,0,1
130,8,0,0,0,0,0,1
131,8,0,0,0,0,0,1
132,8,0,0,0,0,0,1
133,8,0,0,0,0,0,1
134,8,0,0,0,0,0,1
135,8,0,0,0,0,0,1
136,8,0,0,0,0,0,0
137,8,0,0,0,0,0,0
138,8,0,0,0,0,0,0
139,8,0,0,0,0,0,0
140,8,0,0,0,0,0,0
141,8,0,0,0,0,0,0
142,8,0,0,0,0,0,0
143,8,0,0,0,0,0,0
144,8,0,0,0,0,0,0
145,9,0,0,0,0,0,1
146,9,0,0,0,0,0,1
147,9,0,0,0,0,0,1
148,9,0,0,0,0,0,1
149,9,0,0,0,0,0,1
150,9,0,0,0,0,0,0
151,9,0,0,0,0,0,0
152,9,0,0,0,0,0,0
153,9,0,0,0,0,0,0
154,9,0,0,0,0,0,0
155,9,0,0,0,0,0,0
156,9,0,0,0,0,0,0
157,9,0,0,0,0,0,0
158,9,0,0,0,0,0,0
159,9,0,0,0,0,0,0
160,9,0,0,0,0,0,0
161,9,0,0,0,0,0,0
162,9,0,0,0,0,0,0
163,9,0,0,0,0,0,0
164,9,0,0,0,0,0,0
165,10,0,0,0,0,0,1
166,10,0,0,0,0,0,1
167,10,0,0,0,0,0,1
168,10,0,0,0,0,0,1
169,10,0,0,0,0,0,1
170,10,0,0,0,0,0,1
171,10,0,0,0,0,0,0
172,10,0,0,0,0,0,0
173,10,0,0,0,0,0,0
174,10,0,0,0,0,0,0
175,10,0,0,0,0,0,0
176,10,0,0,0,0,0,0
177,10,0,0,0,0,0,0
178,10,0,0,0,0,0,0
179,10,0,0,0,0,0,0
180,10,0,0,0,0,0,0
181,10,0,0,0,0,0,0
182,10,0,0,0,0,0,0
183,10,0,0,0,0,0,0
184,10,0,0,0,0,0,0
185,10,0,0,0,0,0,0