exp_id,date,stressor,family,tau,n,deaths,surv_prop,rel_surv_time,pct_surv,pct_rst
20260427-33C,2026-04-27,33 C,1,99.5,20,12,0.4,0.7816582914572865,16.666666666666668,27.77777777777778
20260427-33C,2026-04-27,33 C,10,99.5,9,5,0.4444444444444444,0.9854829704075936,38.888888888888886,94.44444444444444
20260427-33C,2026-04-27,33 C,2,99.5,8,3,0.625,0.9327889447236181,83.33333333333333,72.22222222222223
20260427-33C,2026-04-27,33 C,3,99.5,20,8,0.6,0.9027638190954774,66.66666666666667,50
20260427-33C,2026-04-27,33 C,5,99.5,20,8,0.6,0.9160804020100503,66.66666666666667,61.111111111111114
20260427-33C,2026-04-27,33 C,6,99.5,9,4,0.5555555555555556,0.76214405360134,50,16.666666666666668
20260427-33C,2026-04-27,33 C,7,99.5,17,10,0.4117647058823529,0.8480638486550398,27.77777777777778,38.888888888888886
20260427-33C,2026-04-27,33 C,8,99.5,10,8,0.2,0.7396984924623115,5.555555555555555,5.555555555555555
20260427-33C,2026-04-27,33 C,9,99.5,15,5,0.6666666666666666,0.9500837520938024,94.44444444444444,83.33333333333333
20260511-33C,2026-05-11,33 C,1,67,12,12,0,0.5945273631840796,42.857142857142854,78.57142857142857
20260511-33C,2026-05-11,33 C,10,67,12,12,0,0.40110696517412936,42.857142857142854,7.142857142857143
20260511-33C,2026-05-11,33 C,3,67,12,12,0,0.5592786069651741,42.857142857142854,64.28571428571429
20260511-33C,2026-05-11,33 C,5,67,12,12,0,0.7162064676616915,42.857142857142854,92.85714285714286
20260511-33C,2026-05-11,33 C,6,67,12,12,0,0.45501243781094525,42.857142857142854,50
20260511-33C,2026-05-11,33 C,7,67,12,12,0,0.4261940298507463,42.857142857142854,21.428571428571427
20260511-33C,2026-05-11,33 C,8,67,12,11,0.08333333333333333,0.43220149253731344,92.85714285714286,35.714285714285715
20260604-36C,2026-06-04,36 C,1,42,5,5,0,0.4523809523809524,37.5,6.25
20260604-36C,2026-06-04,36 C,10,42,5,5,0,0.5047619047619047,37.5,31.25
20260604-36C,2026-06-04,36 C,2,42,5,5,0,0.4714285714285714,37.5,18.75
20260604-36C,2026-06-04,36 C,3,42,3,3,0,0.5158730158730159,37.5,43.75
20260604-36C,2026-06-04,36 C,5,42,6,5,0.16666666666666666,0.7857142857142857,81.25,81.25
20260604-36C,2026-06-04,36 C,6,42,5,5,0,0.5571428571428572,37.5,56.25
20260604-36C,2026-06-04,36 C,8,42,5,5,0,0.6047619047619047,37.5,68.75
20260604-36C,2026-06-04,36 C,9,42,5,4,0.2,0.9142857142857143,93.75,93.75
20260609-36C,2026-06-09,36 C,1,52,11,11,0,0.8269230769230769,14.285714285714286,21.428571428571427
20260609-36C,2026-06-09,36 C,10,52,11,10,0.09090909090909091,0.6678321678321678,42.857142857142854,7.142857142857143
20260609-36C,2026-06-09,36 C,3,52,11,10,0.09090909090909091,0.8321678321678322,42.857142857142854,35.714285714285715
20260609-36C,2026-06-09,36 C,5,52,11,8,0.2727272727272727,0.9178321678321678,78.57142857142857,78.57142857142857
20260609-36C,2026-06-09,36 C,6,52,11,9,0.18181818181818182,0.8601398601398601,64.28571428571429,64.28571428571429
20260609-36C,2026-06-09,36 C,7,52,11,11,0,0.8391608391608391,14.285714285714286,50
20260609-36C,2026-06-09,36 C,8,52,11,7,0.36363636363636365,0.9195804195804196,92.85714285714286,92.85714285714286
20260706-35C,2026-07-06,35 C,1,163,39,39,0,0.38477269152115773,16.666666666666668,83.33333333333333
20260706-35C,2026-07-06,35 C,10,163,37,37,0,0.27623942961366266,16.666666666666668,5.555555555555555
20260706-35C,2026-07-06,35 C,2,163,37,36,0.02702702702702703,0.28486154866522956,50,16.666666666666668
20260706-35C,2026-07-06,35 C,3,163,32,29,0.09375,0.32074386503067487,94.44444444444444,27.77777777777778
20260706-35C,2026-07-06,35 C,5,163,41,39,0.04878048780487805,0.364806224749364,72.22222222222223,50
20260706-35C,2026-07-06,35 C,6,163,44,43,0.022727272727272728,0.3812046848856665,38.888888888888886,72.22222222222223
20260706-35C,2026-07-06,35 C,7,163,51,48,0.058823529411764705,0.362925538313485,83.33333333333333,38.888888888888886
20260706-35C,2026-07-06,35 C,8,163,44,42,0.045454545454545456,0.39152258784160615,61.111111111111114,94.44444444444444
20260706-35C,2026-07-06,35 C,9,163,53,53,0,0.3722653084847783,16.666666666666668,61.111111111111114
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,1,167,21,15,0.2857142857142857,0.8779583689763331,94.44444444444444,83.33333333333333
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,10,167,21,20,0.047619047619047616,0.8642714570858282,5.555555555555555,72.22222222222223
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,2,167,22,17,0.22727272727272727,0.8835057158410453,72.22222222222223,94.44444444444444
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,3,167,19,16,0.15789473684210525,0.730854081311062,50,27.77777777777778
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,5,167,19,14,0.2631578947368421,0.8096438701544281,83.33333333333333,50
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,6,167,21,18,0.14285714285714285,0.6854861705161107,38.888888888888886,16.666666666666668
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,7,167,34,31,0.08823529411764706,0.6673124339556181,16.666666666666668,5.555555555555555
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,8,167,21,17,0.19047619047619047,0.8571428571428571,61.111111111111114,61.111111111111114
20260706-35C09ppt,2026-07-06,35 C / 9 ppt,9,167,26,23,0.11538461538461539,0.7342238599723628,27.77777777777778,38.888888888888886
20260707-FW,2026-07-07,Freshwater -> 36 C,1,188,20,3,0.85,1,72.22222222222223,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,10,188,21,6,0.7142857142857143,1,50,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,2,188,20,2,0.9,1,83.33333333333333,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,3,188,24,10,0.5833333333333334,1,38.888888888888886,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,5,188,20,1,0.95,1,94.44444444444444,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,6,188,20,12,0.4,0.9936170212765958,5.555555555555555,16.666666666666668
20260707-FW,2026-07-07,Freshwater -> 36 C,7,188,20,11,0.45,1,22.22222222222222,61.111111111111114
20260707-FW,2026-07-07,Freshwater -> 36 C,8,188,20,11,0.45,0.9617021276595745,22.22222222222222,5.555555555555555
20260707-FW,2026-07-07,Freshwater -> 36 C,9,188,20,5,0.75,1,61.111111111111114,61.111111111111114
